 INFO  Accepting connections at http://localhost:3000
 HTTP  9/6/2026 9:54:40 AM ::1 GET /index.html
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 301 in 16 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /index
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 301 in 0 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 15 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /dist/tailwind.css?v=10
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 7 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/default-data.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/utils.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/attachments.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/data.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/trip-library.js
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 6 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 6 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 6 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 9 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 14 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/cloud-storage.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/packing.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/dragdrop.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/crud.js
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 19 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/tabs.js
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 22 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 18 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 26 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 12 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/ai.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/guide.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/map.js?v=7
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/ui.js
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 8 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 7 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 7 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 6 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/itinerary.js
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 3 ms
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/backup.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/auto-stays.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/transport.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/booking-intake.js
 HTTP  9/6/2026 9:54:40 AM ::1 GET /js/pwa-prompt.js
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 5 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 5 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 4 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 4 ms
 HTTP  9/6/2026 9:54:40 AM ::1 Returned 200 in 5 ms
